user_id,user_journey
282927,Courses-Checkout-Coupon-Courses
282998,Homepage-Career tracks-Homepage-Career tracks-Courses-Homepage-Resources center-Other-Courses-Career tracks-Courses-Career track certificate-Checkout
283073,Other-Homepage-Homepage
284423,Courses-Career track certificate-Courses-Courses-Coupon-Homepage-Pricing-Coupon
284947,Other-Career tracks-Other-Resources center-Course certificate-Coupon
285057,Homepage-Course certificate-Courses-Career tracks-Courses-Homepage-Courses-Homepage-Pricing-Pricing-Checkout-Homepage-Pricing-Homepage-Pricing-Homepage-Pricing-Homepage-Homepage-Homepage-Checkout-Checkout
285400,Other-Homepage-Resources center-Homepage-Resources center-Other-Homepage-Pricing-Resources center-Homepage-Pricing-Resources center-Coupon-Coupon-Checkout
286605,Homepage-Other-Other-Courses-Courses-Career tracks-Other-Career track certificate-Other-Resources center-Other-Coupon-Resources center-Other-Coupon-Coupon-Other-Resources center-Other-Resources center-Homepage-Coupon-Coupon-Other-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Coupon-Homepage-Career tracks-Coupon-Coupon-Coupon
286986,Pricing-Courses-Courses-Pricing-Pricing-Homepage-Checkout-Checkout
287136,Pricing-Homepage-Checkout-Checkout-Checkout
287530,Career tracks-Courses-Career tracks-Homepage-Career tracks-Homepage-Courses-Career tracks-Career tracks-Career tracks-Courses-Homepage-Pricing-Homepage-Career tracks-Courses-Homepage-Career tracks-Courses-Homepage-Career tracks-Courses-Career tracks-Courses-Homepage-Homepage-Homepage-Career tracks-Homepage-Resources center-Homepage-Resources center-Homepage-Resources center-Other-Homepage-Homepage-Checkout
288416,Homepage-Pricing-Courses-Career tracks-Career tracks-Pricing-Homepage-Pricing-Homepage-Career tracks-Homepage-Career tracks-Courses-Homepage-Career tracks-Career tracks-Career tracks-Checkout
289110,Other-Homepage-Career tracks-Checkout-Checkout
289169,Homepage-Pricing-Coupon
289171,Other-Coupon-Homepage-Coupon
289359,Homepage-Other-Homepage-Pricing-Homepage-Homepage-Homepage-Pricing-Course certificate-Pricing-Course certificate-Career track certificate-Homepage-Pricing-Career track certificate-Career tracks-Career tracks-Checkout-Checkout
289370,Homepage-Other-Pricing-Courses-Other-Homepage-Courses-Homepage-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Homepage-Checkout
289379,Other-Homepage-Courses-Homepage-Courses-Checkout
289748,Homepage-Pricing-Checkout-Pricing-Career tracks-Career tracks-Career track certificate-Homepage-Homepage-Career tracks-Courses-Courses-Coupon-Coupon-Checkout-Coupon-Coupon-Checkout-Coupon-Coupon-Coupon-Checkout
289842,Courses-Coupon-Other-Homepage-Career track certificate-Coupon-Homepage-Coupon-Coupon
289919,Other-Resources center-Resources center-Pricing-Checkout-Checkout
289988,Courses-Courses-Other-Courses-Courses-Pricing-Courses-Homepage-Career tracks-Courses-Courses-Homepage-Checkout
290258,Other-Pricing-Career track certificate-Course certificate-Career track certificate-Career track certificate-Courses-Courses-Homepage-Other-Resources center-Success stories-Checkout-Coupon
290289,Homepage-Other-Checkout
290527,Other-Other-Checkout
291012,Other-Career tracks-Courses-Homepage-Career tracks-Homepage-Homepage-Homepage-Homepage-Homepage-Courses-Checkout-Homepage-Pricing-Homepage-Career tracks-Homepage-Homepage-Other-Checkout
291100,Checkout-Checkout-Homepage-Other-Homepage-Homepage
291598,Homepage-Career tracks-Career tracks-Homepage-Homepage-Pricing-Homepage-Pricing-Homepage-Homepage-Pricing-Homepage-Coupon
291921,Homepage-Career track certificate-Pricing-Checkout-Homepage-Pricing-Homepage-Pricing-Pricing-Checkout-Career track certificate-Career tracks-Career track certificate-Career track certificate-Career tracks-Career tracks-Homepage-Career track certificate-Course certificate-Upcoming courses-Course certificate-Career track certificate-Career tracks-Courses-Career tracks-Career track certificate-Career track certificate-Pricing-Career track certificate-Career tracks-Homepage-Pricing-Homepage-Pricing-Checkout-Pricing-Homepage-Homepage-Pricing-Career tracks-Pricing-Career tracks-Career track certificate-Career track certificate-Checkout
292469,Pricing-Checkout-Homepage-Homepage-Career tracks-Career tracks-Homepage-Career tracks-Homepage-Courses-Career tracks-Courses-Courses-Courses-Courses-Pricing-Courses-Pricing-Career tracks-Pricing-Career tracks-Career tracks-Pricing-Pricing-Checkout-Homepage-Checkout-Homepage-Checkout
292620,Homepage-Career track certificate-Homepage-Homepage-Career track certificate-Homepage-Career track certificate-Checkout
292886,Homepage-Courses-Checkout
293325,Coupon-Other-Course certificate-Career track certificate-Career tracks-Courses-Coupon-Checkout
293572,Other-Coupon-Coupon
293945,Homepage-Pricing-Upcoming courses-Career tracks-Career tracks-Homepage-Pricing-Checkout-Coupon-Homepage-Career tracks-Resources center-Other-Coupon
294116,Homepage-Pricing-Homepage-Homepage-Pricing-Homepage-Courses-Career tracks-Courses-Career tracks-Pricing-Checkout
294736,Other-Career tracks-Pricing-Career tracks-Resources center-Course certificate-Success stories-Success stories-Career track certificate-Pricing-Success stories-Courses-Homepage-Career tracks-Courses-Homepage-Homepage-Career tracks-Resources center-Career track certificate-Career tracks-Homepage-Homepage-Pricing-Courses-Homepage-Career tracks-Courses-Homepage-Career track certificate-Pricing-Career tracks-Resources center-Other-Resources center-Resources center-Homepage-Checkout-Homepage-Homepage-Checkout
295049,Career track certificate-Homepage-Career track certificate-Career tracks-Courses-Career tracks-Courses-Courses-Pricing-Homepage-Other-Homepage-Other-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Courses-Homepage-Courses-Other-Career track certificate-Career tracks-Career track certificate-Career tracks-Career tracks-Courses-Coupon-Coupon-Homepage-Other-Checkout
295174,Homepage-Pricing-Career track certificate-Course certificate-Career track certificate-Career tracks-Career track certificate-Career tracks-Homepage-Courses-Career track certificate-Career tracks-Career tracks-Pricing-Homepage-Courses-Career track certificate-Homepage-Homepage-Homepage-Pricing-Checkout-Checkout-Homepage-Career tracks-Courses-Homepage-Course certificate-Homepage-Course certificate-Checkout
295176,Homepage-Other-Other-Homepage-Checkout
295682,Resources center-Other-Resources center-Resources center-Other-Resources center-Resources center-Homepage-Checkout-Pricing-Checkout-Checkout-Checkout
296305,Courses-Other-Other-Homepage-Resources center-Other-Resources center-Resources center-Other-Resources center-Other
296352,Other-Course certificate-Other-Courses-Course certificate-Pricing-Course certificate-Homepage-Courses-Other-Coupon
296465,Homepage-Other-Homepage-Homepage-Checkout
296546,Homepage-Homepage-Course certificate-Career track certificate-Courses-Career tracks-Homepage-Other-Checkout-Checkout
296653,Pricing-Courses-Coupon
296961,Homepage-Pricing-Checkout-Homepage-Homepage-Pricing-Checkout-Pricing-Checkout-Pricing-Checkout-Homepage-Other-Homepage-Checkout-Checkout-Checkout
296983,Homepage-Homepage-Pricing-Courses-Other-Pricing-Career track certificate-Course certificate-Homepage-Homepage-Homepage-Homepage-Course certificate-Homepage-Checkout-Checkout
297835,Other-Other-Homepage-Pricing-Checkout
297962,Other-Checkout
298464,Other-Coupon
299103,Other-Courses-Career tracks-Coupon
299675,Coupon
300083,Other-Checkout
300455,Homepage-Career tracks-Courses-Homepage-Courses-Courses-Homepage-Career tracks-Homepage-Homepage-Pricing-Checkout-Pricing-Checkout-Pricing-Homepage-Pricing-Homepage-Courses-Homepage-Pricing-Homepage-Pricing-Courses-Homepage-Pricing-Courses-Career track certificate-Courses-Courses-Homepage-Homepage-Resources center-Career tracks-Homepage-Career tracks-Courses-Career tracks-Courses-Career tracks-Courses-Career tracks-Other-Checkout
301568,Other-Other-Coupon
302683,Other-Other-Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Checkout
302942,Resources center-Pricing-Coupon
303408,Other-Courses-Checkout
305004,Other-Career tracks-Courses-Career tracks-Homepage-Courses-Course certificate-Career track certificate-Career tracks-Career track certificate-Career tracks-Career track certificate-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Course certificate-Pricing-Checkout-Pricing-Checkout-Pricing-Checkout-Homepage-Courses-Career track certificate-Course certificate-Career track certificate-Career tracks-Courses-Homepage-Checkout
305785,Homepage-Courses-Pricing-Coupon
305842,Other-Homepage-Homepage-Homepage-Other-Checkout-Other-Checkout
306397,Other-Homepage-Resources center-Other-Coupon-Homepage-Courses-Coupon
306406,Other-Coupon
307149,Other-Homepage-Courses-Courses-Homepage-Homepage-Career tracks-Homepage-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Courses-Career tracks-Pricing-Homepage-Courses-Homepage-Homepage-Courses-Other-Pricing-Courses-Homepage-Other-Homepage-Checkout
307235,Other-Resources center-Other-Resources center-Other-Courses-Homepage-Courses-Homepage-Courses-Homepage-Resources center-Upcoming courses-Career tracks-Checkout-Homepage-Courses-Coupon-Other
307546,Other-Coupon-Homepage-Checkout
307602,Other-Homepage-Other-Homepage-Other-Homepage-Other-Checkout
307886,Other-Homepage-Pricing-Homepage-Pricing-Checkout
307902,Other-Other-Checkout-Other-Other-Homepage-Homepage-Checkout
308007,Homepage-Homepage-Courses-Other-Other-Homepage-Homepage-Homepage-Homepage-Checkout-Coupon-Coupon-Coupon
308457,Homepage-Other-Homepage-Homepage-Homepage-Other-Other-Checkout-Checkout
310357,Other-Resources center-Other-Resources center-Other-Coupon-Coupon
310671,Homepage-Checkout-Homepage-Homepage-Homepage-Checkout-Checkout
310716,Other-Coupon-Coupon
311868,Other-Homepage-Homepage-Courses-Resources center-Resources center-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Pricing-Courses-Homepage-Pricing-Homepage-Pricing-Coupon
311905,Homepage-Pricing-Pricing-Course certificate-Homepage-Checkout
312454,Career track certificate-Career track certificate-Resources center-Career track certificate-Career tracks-Homepage-Career track certificate-Career tracks-Courses-Career tracks-Courses-Homepage-Homepage-Course certificate-Pricing-Pricing-Courses-Homepage-Career tracks-Pricing-Career tracks-Career tracks-Courses-Career tracks-Homepage-Career tracks-Courses-Homepage-Homepage-Homepage-Checkout
312849,Courses-Pricing-Career track certificate-Homepage-Career tracks-Pricing-Course certificate-Career track certificate-Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Checkout-Checkout-Checkout-Pricing-Instructors-Pricing-Resources center-Pricing-Resources center-Other-Pricing-Homepage-Pricing-Checkout-Checkout-Coupon-Coupon
313048,Other-Homepage-Checkout
314076,Homepage-Courses-Course certificate-Other-Homepage-Homepage-Homepage-Pricing-Homepage-Checkout
314632,Other-Checkout-Checkout
314728,Homepage-Career track certificate-Other-Other-Checkout-Checkout-Checkout-Checkout-Checkout
315107,Other-Coupon-Homepage-Pricing-Coupon-Coupon
315306,Other-Other-Coupon-Homepage-Courses-Coupon
316287,Other-Other-Homepage-Pricing-Checkout-Homepage-Pricing-Checkout-Pricing-Checkout-Coupon
316823,Other-Coupon-Checkout-Coupon
316833,Other-Coupon
316976,Other-Coupon-Coupon-Checkout-Checkout-Resources center-Courses-Homepage-Career tracks-Coupon-Coupon
318200,Checkout-Homepage-Checkout-Checkout
319252,Other-Checkout-Checkout
319493,Career tracks-Homepage-Coupon
321978,Other-Homepage-Homepage-Homepage-Coupon-Coupon-Coupon
322021,Career tracks-Other-Homepage-Checkout-Homepage-Career track certificate-Career track certificate-Checkout-Checkout-Checkout-Checkout-Homepage-Checkout
322577,Other-Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Homepage-Checkout-Checkout
323474,Other-Coupon-Coupon
324352,Other-Coupon
324442,Homepage-Career tracks-Career tracks-Courses-Career tracks-Career tracks-Career track certificate-Course certificate-Courses-Homepage-Checkout
327915,Other-Coupon-Homepage-Pricing
328922,Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other-Other
329390,Other-Coupon-Homepage-Homepage-Checkout
